MarkerName,Effect,StdErr,P-value,Direction,HetISq,HetChiSq,HetDf,HetPVal,CpG_chrm,CpG_beg,CpG_end,probe_strand,genesUniq,geneNames,transcriptTypes,transcriptIDs,distToTSS,CGI,CGIposition,snpID,snpChrm,snpEnd,snpRef,snpAlt,GAN,GAC,GAF,distance
cg1708,-0.2441,0.19,0.199,--,0,0.027,1,0.8692,,,,,,,,,,,,,,,,,,,,
cg1808,-0.2924,0.2277,0.199,+-,56.6,2.306,1,0.1289,,,,,,,,,,,,,,,,,,,,
cg1866,0.2861,0.2228,0.1991,-+,54.4,2.195,1,0.1385,,,,,,,,,,,,,,,,,,,,
cg4371,-0.441,0.3436,0.1993,--,0,0.185,1,0.667,,,,,,,,,,,,,,,,,,,,
cg4659,-0.2569,0.2005,0.2002,-+,87.1,7.756,1,0.005352,,,,,,,,,,,,,,,,,,,,
cg4345,0.2413,0.1884,0.2004,++,0,0.011,1,0.9162,,,,,,,,,,,,,,,,,,,,
cg2523,0.3506,0.2738,0.2005,-+,38.4,1.625,1,0.2025,,,,,,,,,,,,,,,,,,,,
cg1363,0.3996,0.3122,0.2006,++,0,0.226,1,0.6346,,,,,,,,,,,,,,,,,,,,
cg2578,0.2333,0.1823,0.2008,-+,93.9,16.327,1,5.331e-05,,,,,,,,,,,,,,,,,,,,
cg1076,-0.4946,0.3868,0.201,--,0,0.066,1,0.7979,,,,,,,,,,,,,,,,,,,,
cg4025,-0.2571,0.2011,0.201,--,59.7,2.48,1,0.1153,,,,,,,,,,,,,,,,,,,,
cg3257,0.4492,0.3514,0.2011,++,0,0.013,1,0.9092,,,,,,,,,,,,,,,,,,,,
cg3605,0.5163,0.4044,0.2017,-+,0,0.894,1,0.3445,,,,,,,,,,,,,,,,,,,,
cg1644,-0.4829,0.3784,0.2019,--,0,0.061,1,0.8053,,,,,,,,,,,,,,,,,,,,
cg2294,-0.1398,0.1097,0.2024,+-,0,0.291,1,0.5899,,,,,,,,,,,,,,,,,,,,
cg2323,-0.3449,0.2707,0.2026,--,49.8,1.993,1,0.1581,,,,,,,,,,,,,,,,,,,,
cg2877,0.4376,0.3437,0.2029,++,0,0.002,1,0.9607,,,,,,,,,,,,,,,,,,,,
cg4466,0.113,0.0888,0.2034,++,0,0.083,1,0.7734,,,,,,,,,,,,,,,,,,,,
cg4366,0.4004,0.315,0.2037,-+,30.1,1.431,1,0.2317,,,,,,,,,,,,,,,,,,,,
cg628,-0.1781,0.1401,0.2037,+-,87.8,8.166,1,0.004269,,,,,,,,,,,,,,,,,,,,
cg1227,-0.5417,0.4264,0.2039,--,0,0.274,1,0.6008,,,,,,,,,,,,,,,,,,,,
cg1956,0.492,0.388,0.2048,-+,0,0.927,1,0.3356,,,,,,,,,,,,,,,,,,,,
cg1338,0.2574,0.2031,0.205,-+,25.6,1.344,1,0.2463,,,,,,,,,,,,,,,,,,,,
cg4141,0.1359,0.1073,0.2053,-+,62,2.631,1,0.1048,,,,,,,,,,,,,,,,,,,,
cg3057,0.2162,0.1707,0.2054,++,0,0.023,1,0.8803,,,,,,,,,,,,,,,,,,,,
cg790,-0.2206,0.1742,0.2055,+-,83.2,5.968,1,0.01457,,,,,,,,,,,,,,,,,,,,
cg2439,-0.4993,0.395,0.2062,--,17.3,1.209,1,0.2716,,,,,,,,,,,,,,,,,,,,
cg1468,-0.44,0.3483,0.2065,--,0,0.571,1,0.4497,,,,,,,,,,,,,,,,,,,,
cg4842,0.4081,0.3232,0.2067,++,76.7,4.291,1,0.03831,,,,,,,,,,,,,,,,,,,,
cg1410,0.4371,0.3467,0.2074,++,0,0.189,1,0.664,,,,,,,,,,,,,,,,,,,,
cg1318,-0.3512,0.2785,0.2074,--,0,0.01,1,0.9192,,,,,,,,,,,,,,,,,,,,
cg4725,0.551,0.4374,0.2078,++,0,0.277,1,0.5988,,,,,,,,,,,,,,,,,,,,
cg4320,0.2743,0.2179,0.208,++,0,0.093,1,0.7607,,,,,,,,,,,,,,,,,,,,
cg3770,0.5832,0.4636,0.2083,++,0,0.035,1,0.8523,,,,,,,,,,,,,,,,,,,,
cg2302,-0.7739,0.6151,0.2083,--,0,0.827,1,0.3631,,,,,,,,,,,,,,,,,,,,
cg323,0.6221,0.4945,0.2084,+-,84.1,6.288,1,0.01216,,,,,,,,,,,,,,,,,,,,
cg42,0.263,0.2091,0.2084,++,0,0.459,1,0.4983,,,,,,,,,,,,,,,,,,,,
cg286,-0.282,0.2242,0.2085,--,31.3,1.455,1,0.2278,,,,,,,,,,,,,,,,,,,,
cg230,-0.5069,0.4032,0.2086,+-,33.7,1.508,1,0.2194,,,,,,,,,,,,,,,,,,,,
cg2177,-0.4975,0.3963,0.2094,--,0,0,1,0.9911,,,,,,,,,,,,,,,,,,,,
cg342,0.4627,0.3686,0.2094,-+,0,0.546,1,0.46,,,,,,,,,,,,,,,,,,,,
cg861,-0.3543,0.2822,0.2094,--,0,0.137,1,0.7115,,,,,,,,,,,,,,,,,,,,
cg464,0.4415,0.3522,0.21,++,0,0.024,1,0.877,,,,,,,,,,,,,,,,,,,,
cg3492,0.4229,0.3374,0.21,++,71.3,3.485,1,0.06191,,,,,,,,,,,,,,,,,,,,
cg4234,0.5538,0.442,0.2102,++,0,0.517,1,0.4722,,,,,,,,,,,,,,,,,,,,
cg2107,-0.3058,0.2443,0.2106,+-,77.4,4.422,1,0.03548,,,,,,,,,,,,,,,,,,,,
cg1836,0.4848,0.3874,0.2108,++,0,0.02,1,0.8879,,,,,,,,,,,,,,,,,,,,
cg3024,-0.4448,0.3557,0.2112,--,0,0.157,1,0.6922,,,,,,,,,,,,,,,,,,,,
cg1025,0.3708,0.2969,0.2117,-+,0,0.862,1,0.3532,,,,,,,,,,,,,,,,,,,,
cg1935,-0.5468,0.4379,0.2118,--,0,0.239,1,0.625,,,,,,,,,,,,,,,,,,,,
cg208,0.4514,0.3618,0.2122,++,0,0.066,1,0.7975,,,,,,,,,,,,,,,,,,,,
cg1776,-0.6741,0.5404,0.2122,--,0,0.17,1,0.6804,,,,,,,,,,,,,,,,,,,,
cg1598,-0.3351,0.2689,0.2126,+-,0,0.698,1,0.4036,,,,,,,,,,,,,,,,,,,,
cg2905,0.254,0.2037,0.2126,-+,0,0.63,1,0.4275,,,,,,,,,,,,,,,,,,,,
cg4879,0.1709,0.1372,0.2127,++,31.9,1.469,1,0.2255,,,,,,,,,,,,,,,,,,,,
cg3351,-0.6656,0.5341,0.2128,--,0,0.102,1,0.7495,,,,,,,,,,,,,,,,,,,,
cg4622,-0.2574,0.2066,0.2129,+-,25.1,1.334,1,0.248,,,,,,,,,,,,,,,,,,,,
cg2308,-0.1588,0.1275,0.2129,+-,0,0.925,1,0.3362,,,,,,,,,,,,,,,,,,,,
cg2784,0.1944,0.1562,0.2133,-+,59.8,2.488,1,0.1147,,,,,,,,,,,,,,,,,,,,
cg2325,0.5001,0.4023,0.2138,++,0,0.011,1,0.9171,,,,,,,,,,,,,,,,,,,,
cg2412,-0.1183,0.0952,0.2139,-+,96.7,30.2,1,3.897e-08,,,,,,,,,,,,,,,,,,,,
cg1494,0.2234,0.1798,0.214,++,0,0.002,1,0.9627,,,,,,,,,,,,,,,,,,,,
cg4310,0.3663,0.2947,0.214,+-,73.4,3.756,1,0.05262,,,,,,,,,,,,,,,,,,,,
cg3004,0.5135,0.4132,0.214,++,0,0.141,1,0.7074,,,,,,,,,,,,,,,,,,,,
cg3473,0.3609,0.2906,0.2142,++,0,0.185,1,0.6668,,,,,,,,,,,,,,,,,,,,
cg1460,0.1485,0.1196,0.2144,++,0,0.605,1,0.4367,,,,,,,,,,,,,,,,,,,,
cg3361,0.2377,0.1915,0.2145,++,0,0.013,1,0.9077,,,,,,,,,,,,,,,,,,,,
cg1688,0.2799,0.2254,0.2145,++,0,0.326,1,0.5681,,,,,,,,,,,,,,,,,,,,
cg4386,0.2466,0.1988,0.215,++,9.5,1.105,1,0.2931,,,,,,,,,,,,,,,,,,,,
cg2956,0.3686,0.2972,0.215,++,0,0.723,1,0.395,,,,,,,,,,,,,,,,,,,,
cg3300,0.4565,0.3684,0.2154,++,0,0.187,1,0.6657,,,,,,,,,,,,,,,,,,,,
cg4779,0.1756,0.1418,0.2155,++,44.9,1.816,1,0.1778,,,,,,,,,,,,,,,,,,,,
cg1225,0.3574,0.2887,0.2157,+-,0,0.761,1,0.3831,,,,,,,,,,,,,,,,,,,,
cg2465,0.267,0.2158,0.216,-+,0,0.472,1,0.4921,,,,,,,,,,,,,,,,,,,,
cg545,0.276,0.2231,0.2161,-+,49.5,1.981,1,0.1593,,,,,,,,,,,,,,,,,,,,
cg680,-0.459,0.3714,0.2165,--,0,0.017,1,0.8954,,,,,,,,,,,,,,,,,,,,
cg97,-0.2786,0.2257,0.2169,--,0,0.139,1,0.7093,,,,,,,,,,,,,,,,,,,,
cg795,-0.4007,0.3245,0.217,--,0,0.054,1,0.8164,,,,,,,,,,,,,,,,,,,,
cg2515,-0.37,0.2999,0.2172,--,0,0.116,1,0.7331,,,,,,,,,,,,,,,,,,,,
cg2871,0.142,0.1151,0.2173,-+,82.1,5.588,1,0.01808,,,,,,,,,,,,,,,,,,,,
cg4196,0.2939,0.2383,0.2175,-+,0,0.319,1,0.5721,,,,,,,,,,,,,,,,,,,,
cg2188,-0.5138,0.4167,0.2176,--,38.9,1.637,1,0.2008,,,,,,,,,,,,,,,,,,,,
cg4313,-0.4255,0.3453,0.2179,+-,1,1.01,1,0.3149,,,,,,,,,,,,,,,,,,,,
cg3505,-0.4306,0.3498,0.2183,--,0,0.122,1,0.7266,,,,,,,,,,,,,,,,,,,,
cg4711,0.3046,0.2476,0.2185,+-,27.7,1.382,1,0.2397,,,,,,,,,,,,,,,,,,,,
cg1800,-0.2842,0.2312,0.2191,--,0,0.077,1,0.7812,,,,,,,,,,,,,,,,,,,,
cg2491,-0.205,0.1669,0.2192,+-,0,0.091,1,0.7632,,,,,,,,,,,,,,,,,,,,
cg4088,-0.5214,0.4244,0.2193,--,0,0.457,1,0.499,,,,,,,,,,,,,,,,,,,,
cg1822,0.6168,0.503,0.2201,++,23.7,1.31,1,0.2524,,,,,,,,,,,,,,,,,,,,
cg1083,-0.3795,0.3094,0.2201,-+,62.4,2.658,1,0.1031,,,,,,,,,,,,,,,,,,,,
cg2618,0.0812,0.0663,0.2209,-+,96.6,29.412,1,5.852e-08,,,,,,,,,,,,,,,,,,,,
cg3753,-0.3122,0.255,0.2209,+-,61.7,2.609,1,0.1063,,,,,,,,,,,,,,,,,,,,
cg4125,0.2006,0.1641,0.2216,++,87.5,7.99,1,0.004703,,,,,,,,,,,,,,,,,,,,
cg4851,0.527,0.4314,0.2218,++,0,0.105,1,0.7459,,,,,,,,,,,,,,,,,,,,
cg4250,-0.2103,0.1721,0.2219,--,80.8,5.195,1,0.02265,,,,,,,,,,,,,,,,,,,,
cg4552,-0.3977,0.3258,0.2222,--,57.4,2.345,1,0.1257,,,,,,,,,,,,,,,,,,,,
cg1902,0.5799,0.4752,0.2224,++,0,0.34,1,0.5598,,,,,,,,,,,,,,,,,,,,
cg1466,-0.2884,0.2364,0.2225,-+,85.6,6.968,1,0.008298,,,,,,,,,,,,,,,,,,,,
cg4430,-0.1696,0.1394,0.2236,--,0,0.217,1,0.6416,,,,,,,,,,,,,,,,,,,,
cg2753,0.4529,0.3721,0.2236,++,0,0.092,1,0.7613,,,,,,,,,,,,,,,,,,,,
cg1131,0.4203,0.3462,0.2248,++,0,0.02,1,0.8877,,,,,,,,,,,,,,,,,,,,
cg3038,-0.5035,0.4148,0.2248,+-,33.2,1.497,1,0.2212,,,,,,,,,,,,,,,,,,,,
cg4404,0.4627,0.3815,0.2252,++,0,0.277,1,0.5989,,,,,,,,,,,,,,,,,,,,
cg2135,0.3107,0.2563,0.2254,++,0,0,1,0.9894,,,,,,,,,,,,,,,,,,,,
cg2383,-0.2795,0.2307,0.2256,+-,7.7,1.083,1,0.298,,,,,,,,,,,,,,,,,,,,
cg1251,-0.6312,0.521,0.2257,--,0,0.003,1,0.96,,,,,,,,,,,,,,,,,,,,
cg3739,-0.3747,0.3094,0.2259,--,0,0.695,1,0.4044,,,,,,,,,,,,,,,,,,,,
cg1020,0.2148,0.1776,0.2264,-+,5.7,1.06,1,0.3032,,,,,,,,,,,,,,,,,,,,
cg2432,-0.3749,0.3099,0.2264,--,0,0.347,1,0.5558,,,,,,,,,,,,,,,,,,,,
cg2822,0.2774,0.2297,0.2272,++,69.4,3.266,1,0.07074,,,,,,,,,,,,,,,,,,,,
cg4584,-0.5582,0.4631,0.2281,--,0,0.194,1,0.6599,,,,,,,,,,,,,,,,,,,,
cg536,-0.4949,0.411,0.2285,--,0,0.024,1,0.8761,,,,,,,,,,,,,,,,,,,,
cg1621,0.261,0.2169,0.2289,-+,50.9,2.036,1,0.1536,,,,,,,,,,,,,,,,,,,,
cg936,-0.2033,0.169,0.2291,+-,0,0.227,1,0.6337,,,,,,,,,,,,,,,,,,,,
cg1686,0.229,0.1906,0.2295,++,0,0.001,1,0.982,,,,,,,,,,,,,,,,,,,,
cg2417,-0.5874,0.4899,0.2304,-+,74.1,3.863,1,0.04935,,,,,,,,,,,,,,,,,,,,
cg2583,-0.1691,0.1411,0.2307,--,0,0.969,1,0.325,,,,,,,,,,,,,,,,,,,,
cg4560,0.3678,0.3071,0.2311,++,14.4,1.169,1,0.2797,,,,,,,,,,,,,,,,,,,,
cg1037,-0.3933,0.3291,0.232,--,0,0.037,1,0.8469,,,,,,,,,,,,,,,,,,,,
cg4157,-0.4799,0.4018,0.2324,--,0,0.419,1,0.5177,,,,,,,,,,,,,,,,,,,,
cg4042,-0.3143,0.2634,0.2327,+-,0,0.353,1,0.5523,,,,,,,,,,,,,,,,,,,,
cg4865,-0.5402,0.4529,0.2329,--,7.9,1.086,1,0.2973,,,,,,,,,,,,,,,,,,,,
cg4009,0.466,0.3907,0.233,++,0,0.317,1,0.5735,,,,,,,,,,,,,,,,,,,,
cg4209,-0.4058,0.3404,0.2331,+-,72.5,3.643,1,0.05631,,,,,,,,,,,,,,,,,,,,
cg715,-0.2434,0.2041,0.2331,--,0,0.046,1,0.8299,,,,,,,,,,,,,,,,,,,,
cg2544,0.4284,0.3593,0.2331,-+,10.8,1.121,1,0.2897,,,,,,,,,,,,,,,,,,,,
cg1668,0.1778,0.1492,0.2334,++,0,0.283,1,0.5947,,,,,,,,,,,,,,,,,,,,
cg482,-0.3979,0.3342,0.2338,--,0,0.267,1,0.6054,,,,,,,,,,,,,,,,,,,,
cg1712,-0.2135,0.1794,0.2338,--,0,0.016,1,0.8986,,,,,,,,,,,,,,,,,,,,
cg946,0.3452,0.2901,0.2341,+-,37.1,1.589,1,0.2075,,,,,,,,,,,,,,,,,,,,
cg1527,-0.372,0.3127,0.2343,--,0,0.139,1,0.7088,,,,,,,,,,,,,,,,,,,,
cg894,0.4804,0.4041,0.2345,++,0,0.619,1,0.4315,,,,,,,,,,,,,,,,,,,,
cg4063,0.3193,0.2688,0.2347,++,0,0.03,1,0.8631,,,,,,,,,,,,,,,,,,,,
cg2543,-0.361,0.304,0.235,--,0,0.935,1,0.3335,,,,,,,,,,,,,,,,,,,,
cg535,0.0903,0.0761,0.2354,++,0,0.359,1,0.549,,,,,,,,,,,,,,,,,,,,
cg3502,0.5209,0.4394,0.2358,++,0,0.056,1,0.8128,,,,,,,,,,,,,,,,,,,,
cg2869,-0.4411,0.3722,0.2359,--,0,0.289,1,0.5912,,,,,,,,,,,,,,,,,,,,
cg95,-0.351,0.297,0.2373,--,0,0.243,1,0.6218,,,,,,,,,,,,,,,,,,,,
cg2004,0.346,0.2928,0.2374,-+,0,0.987,1,0.3204,,,,,,,,,,,,,,,,,,,,
cg2997,-0.3994,0.3383,0.2377,--,0,0.054,1,0.8155,,,,,,,,,,,,,,,,,,,,
cg3072,-0.5295,0.4488,0.2381,-+,60.2,2.515,1,0.1128,,,,,,,,,,,,,,,,,,,,
cg62,-0.3948,0.3347,0.2383,--,0,0.002,1,0.9651,,,,,,,,,,,,,,,,,,,,
cg3697,-0.4339,0.368,0.2384,--,0,0.009,1,0.9237,,,,,,,,,,,,,,,,,,,,
cg44,-0.7,0.5938,0.2384,--,0,0.175,1,0.6759,,,,,,,,,,,,,,,,,,,,
cg2012,-0.5262,0.4464,0.2385,--,0,0.115,1,0.7348,,,,,,,,,,,,,,,,,,,,
cg4347,0.6261,0.5312,0.2385,++,0,0.274,1,0.6008,,,,,,,,,,,,,,,,,,,,
cg166,0.3908,0.332,0.2392,++,0,0.006,1,0.9375,,,,,,,,,,,,,,,,,,,,
cg3412,0.5871,0.4989,0.2393,++,0,0.732,1,0.3923,,,,,,,,,,,,,,,,,,,,
cg3464,-0.0959,0.0815,0.2393,--,0,0.131,1,0.717,,,,,,,,,,,,,,,,,,,,
cg57,0.4148,0.3526,0.2394,++,0,0.359,1,0.5488,,,,,,,,,,,,,,,,,,,,
cg3202,0.4574,0.3894,0.2402,-+,9.3,1.102,1,0.2938,,,,,,,,,,,,,,,,,,,,
cg3880,-0.3739,0.3186,0.2407,+-,0,0.959,1,0.3276,,,,,,,,,,,,,,,,,,,,
cg4677,-0.6652,0.5671,0.2408,--,0,0.078,1,0.7804,,,,,,,,,,,,,,,,,,,,
cg1404,0.3971,0.3388,0.2412,++,7.4,1.08,1,0.2986,,,,,,,,,,,,,,,,,,,,
cg471,0.3946,0.3372,0.2418,++,0,0.084,1,0.772,,,,,,,,,,,,,,,,,,,,
cg2934,-0.2056,0.1757,0.2419,--,0,0.487,1,0.4854,,,,,,,,,,,,,,,,,,,,
cg4656,0.5488,0.469,0.242,++,0,0.297,1,0.5855,,,,,,,,,,,,,,,,,,,,
cg1695,0.1859,0.1591,0.2428,-+,0,0.264,1,0.6075,,,,,,,,,,,,,,,,,,,,
cg4540,-0.3331,0.2852,0.2429,--,0,0.14,1,0.7083,,,,,,,,,,,,,,,,,,,,
cg1521,0.4481,0.3841,0.2434,++,0,0.028,1,0.8661,,,,,,,,,,,,,,,,,,,,
cg38,-0.7001,0.6007,0.2439,--,0,0.013,1,0.9093,,,,,,,,,,,,,,,,,,,,
cg2540,0.2702,0.2321,0.2443,++,0,0.021,1,0.8849,,,,,,,,,,,,,,,,,,,,
cg2377,-0.5627,0.4834,0.2444,--,0,0,1,0.9881,,,,,,,,,,,,,,,,,,,,
cg3434,-0.4063,0.3494,0.2449,--,0,0.151,1,0.6979,,,,,,,,,,,,,,,,,,,,
cg4512,-0.2859,0.2459,0.245,+-,44.2,1.791,1,0.1808,,,,,,,,,,,,,,,,,,,,
cg4934,0.3201,0.2754,0.2452,++,0,0.155,1,0.6941,,,,,,,,,,,,,,,,,,,,
cg4609,-0.6763,0.5822,0.2453,--,0,0.011,1,0.9172,,,,,,,,,,,,,,,,,,,,
cg945,-0.1557,0.1342,0.2462,--,0,0.027,1,0.8707,,,,,,,,,,,,,,,,,,,,
cg3978,0.4288,0.3699,0.2464,++,0,0.162,1,0.6872,,,,,,,,,,,,,,,,,,,,
cg1575,-0.3214,0.2775,0.2467,--,0,0.021,1,0.8838,,,,,,,,,,,,,,,,,,,,
cg719,0.486,0.4197,0.2469,++,0,0.037,1,0.8483,,,,,,,,,,,,,,,,,,,,
cg187,0.3867,0.3344,0.2476,++,0,0.238,1,0.6255,,,,,,,,,,,,,,,,,,,,
cg2055,-0.2507,0.2168,0.2476,+-,58.6,2.418,1,0.1199,,,,,,,,,,,,,,,,,,,,
cg2649,0.2779,0.2404,0.2477,++,0,0.04,1,0.8422,,,,,,,,,,,,,,,,,,,,
cg2998,-0.3719,0.3223,0.2485,--,0,0.72,1,0.3961,,,,,,,,,,,,,,,,,,,,
cg2324,-0.4484,0.3886,0.2486,--,0,0.377,1,0.5391,,,,,,,,,,,,,,,,,,,,
cg4021,-0.7311,0.6339,0.2488,--,0,0,1,0.9916,,,,,,,,,,,,,,,,,,,,
cg3974,-0.2807,0.2436,0.2492,--,0,0.025,1,0.8747,,,,,,,,,,,,,,,,,,,,
cg3449,0.2685,0.2331,0.2494,++,0,0.115,1,0.7348,,,,,,,,,,,,,,,,,,,,
cg1790,-0.1011,0.0878,0.2497,--,0,0.032,1,0.8583,,,,,,,,,,,,,,,,,,,,
cg2555,0.0831,0.0722,0.2501,-+,0,0.123,1,0.7258,,,,,,,,,,,,,,,,,,,,
cg4631,-0.4115,0.3581,0.2505,+-,68.1,3.133,1,0.07674,,,,,,,,,,,,,,,,,,,,
cg275,0.5588,0.4865,0.2507,-+,11.5,1.13,1,0.2877,,,,,,,,,,,,,,,,,,,,
cg3179,-0.3455,0.3009,0.2508,--,0,0.046,1,0.8301,,,,,,,,,,,,,,,,,,,,
cg2024,-0.376,0.3274,0.2508,--,0,0.531,1,0.4661,,,,,,,,,,,,,,,,,,,,
cg3153,0.229,0.1994,0.2509,+-,78.5,4.647,1,0.03111,,,,,,,,,,,,,,,,,,,,
cg3264,0.2404,0.2097,0.2517,++,0,0.673,1,0.4119,,,,,,,,,,,,,,,,,,,,
cg2233,0.3237,0.2826,0.252,-+,46.2,1.859,1,0.1727,,,,,,,,,,,,,,,,,,,,
cg4648,0.4203,0.367,0.2521,++,0,0,1,0.9922,,,,,,,,,,,,,,,,,,,,
cg48,-0.1352,0.1181,0.2524,--,22.9,1.298,1,0.2546,,,,,,,,,,,,,,,,,,,,
cg2662,0.3256,0.2846,0.2526,++,0,0.393,1,0.5308,,,,,,,,,,,,,,,,,,,,
cg1777,0.4833,0.4228,0.253,++,0,0.442,1,0.506,,,,,,,,,,,,,,,,,,,,
cg1416,0.1964,0.1718,0.2532,++,0,0.009,1,0.9233,,,,,,,,,,,,,,,,,,,,
cg855,0.2572,0.2252,0.2533,++,0,0.277,1,0.5985,,,,,,,,,,,,,,,,,,,,
cg3520,-0.421,0.3688,0.2536,+-,63.6,2.75,1,0.09727,,,,,,,,,,,,,,,,,,,,
cg2699,0.4868,0.4267,0.254,+-,0,0.846,1,0.3577,,,,,,,,,,,,,,,,,,,,
cg2436,0.321,0.282,0.2549,-+,0,0.721,1,0.3959,,,,,,,,,,,,,,,,,,,,
cg4680,-0.2485,0.2183,0.2551,+-,0,0.377,1,0.5393,,,,,,,,,,,,,,,,,,,,
cg4297,-0.1984,0.1744,0.2553,--,0,0,1,0.9946,,,,,,,,,,,,,,,,,,,,
cg2000,0.3139,0.2759,0.2553,+-,70.8,3.423,1,0.0643,,,,,,,,,,,,,,,,,,,,
cg2554,-0.5096,0.4494,0.2569,-+,31,1.449,1,0.2287,,,,,,,,,,,,,,,,,,,,
cg901,-0.5071,0.4472,0.2569,--,0,0.014,1,0.906,,,,,,,,,,,,,,,,,,,,
cg3692,0.4511,0.3985,0.2576,+-,82,5.559,1,0.01839,,,,,,,,,,,,,,,,,,,,
cg2810,0.4928,0.4354,0.2576,++,0,0.056,1,0.8122,,,,,,,,,,,,,,,,,,,,
cg107,0.2999,0.265,0.2578,++,0,0.008,1,0.9297,,,,,,,,,,,,,,,,,,,,
cg4082,0.3911,0.3457,0.2579,++,0,0.118,1,0.7312,,,,,,,,,,,,,,,,,,,,
cg2975,0.3214,0.2845,0.2585,-+,32.5,1.481,1,0.2237,,,,,,,,,,,,,,,,,,,,
cg2993,0.372,0.3293,0.2586,-+,0,0.915,1,0.3389,,,,,,,,,,,,,,,,,,,,
cg4821,0.3345,0.2963,0.2589,-+,46.4,1.867,1,0.1718,,,,,,,,,,,,,,,,,,,,
cg3518,-0.0967,0.0857,0.2592,+-,0,0.133,1,0.7153,,,,,,,,,,,,,,,,,,,,
cg130,0.3715,0.3296,0.2597,++,0,0.398,1,0.5282,,,,,,,,,,,,,,,,,,,,
cg4229,0.4995,0.4433,0.2598,+-,70.8,3.421,1,0.06436,,,,,,,,,,,,,,,,,,,,
cg2136,0.3812,0.3384,0.2599,-+,0,0.721,1,0.3957,,,,,,,,,,,,,,,,,,,,
cg306,-0.6749,0.5998,0.2605,--,0,0.051,1,0.8216,,,,,,,,,,,,,,,,,,,,
cg408,-0.4086,0.3636,0.2612,--,0,0.493,1,0.4826,,,,,,,,,,,,,,,,,,,,
cg3671,-0.2411,0.2146,0.2612,+-,33.4,1.501,1,0.2205,,,,,,,,,,,,,,,,,,,,
cg2947,-0.421,0.3751,0.2617,+-,0,0.34,1,0.5599,,,,,,,,,,,,,,,,,,,,
cg3195,-0.1938,0.1727,0.2618,-+,95.2,20.881,1,4.886e-06,,,,,,,,,,,,,,,,,,,,
cg2185,-0.4839,0.4319,0.2625,-+,29.7,1.422,1,0.2331,,,,,,,,,,,,,,,,,,,,
cg2120,-0.2509,0.2239,0.2625,--,0,0.202,1,0.653,,,,,,,,,,,,,,,,,,,,
cg2085,0.2988,0.2667,0.2626,++,0,0.796,1,0.3724,,,,,,,,,,,,,,,,,,,,
cg1139,0.4421,0.3952,0.2633,++,0,0.003,1,0.959,,,,,,,,,,,,,,,,,,,,
cg2227,-0.1706,0.1525,0.2635,+-,2.1,1.022,1,0.3121,,,,,,,,,,,,,,,,,,,,
cg4847,0.4082,0.3652,0.2637,++,0,0.103,1,0.748,,,,,,,,,,,,,,,,,,,,
cg3349,-0.4252,0.3807,0.264,+-,37.1,1.589,1,0.2074,,,,,,,,,,,,,,,,,,,,
cg2528,-0.4098,0.367,0.2641,--,0,0.134,1,0.7142,,,,,,,,,,,,,,,,,,,,
cg2371,0.3935,0.3525,0.2642,++,0,0.674,1,0.4116,,,,,,,,,,,,,,,,,,,,
cg4028,0.3614,0.3237,0.2642,-+,31.7,1.464,1,0.2263,,,,,,,,,,,,,,,,,,,,
cg94,0.4452,0.3989,0.2644,++,0,0.082,1,0.7752,,,,,,,,,,,,,,,,,,,,
cg473,0.2937,0.2632,0.2645,++,0,0.545,1,0.4602,,,,,,,,,,,,,,,,,,,,
cg2529,0.135,0.121,0.2645,++,0,0.189,1,0.6639,,,,,,,,,,,,,,,,,,,,
cg2101,-0.3633,0.3258,0.2649,--,0,0.403,1,0.5254,,,,,,,,,,,,,,,,,,,,
cg1525,0.1764,0.1582,0.2649,++,0,0.07,1,0.7917,,,,,,,,,,,,,,,,,,,,
cg4100,-0.4674,0.4193,0.2649,--,31.7,1.464,1,0.2263,,,,,,,,,,,,,,,,,,,,
cg2688,-0.1926,0.1728,0.265,--,0,0.126,1,0.7227,,,,,,,,,,,,,,,,,,,,
cg2911,-0.3688,0.3309,0.265,--,0,0.146,1,0.7025,,,,,,,,,,,,,,,,,,,,
cg1846,0.2756,0.2475,0.2656,-+,84.6,6.512,1,0.01071,,,,,,,,,,,,,,,,,,,,
cg244,-0.1499,0.1349,0.2662,--,0,0.008,1,0.9309,,,,,,,,,,,,,,,,,,,,
cg4590,0.2874,0.2586,0.2664,-+,67.3,3.061,1,0.08017,,,,,,,,,,,,,,,,,,,,
cg727,0.2245,0.2021,0.2665,++,0,0.733,1,0.392,,,,,,,,,,,,,,,,,,,,
cg853,0.1966,0.177,0.2667,++,0,0.061,1,0.8046,,,,,,,,,,,,,,,,,,,,
cg3402,0.4472,0.4026,0.2667,-+,42.7,1.746,1,0.1864,,,,,,,,,,,,,,,,,,,,
cg3196,-0.3143,0.2832,0.267,--,0,0.181,1,0.6703,,,,,,,,,,,,,,,,,,,,
cg655,0.6097,0.5497,0.2674,++,0,0.051,1,0.8215,,,,,,,,,,,,,,,,,,,,
cg831,-0.1349,0.1217,0.2677,+-,82.9,5.863,1,0.01546,,,,,,,,,,,,,,,,,,,,
cg2059,-0.1445,0.1305,0.2684,+-,0,0.179,1,0.6724,,,,,,,,,,,,,,,,,,,,
cg533,-0.2683,0.2425,0.2686,--,0,0.011,1,0.9157,,,,,,,,,,,,,,,,,,,,
cg2948,-0.136,0.1232,0.2698,+-,0,0.067,1,0.7961,,,,,,,,,,,,,,,,,,,,
